study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	ci	se	cv	unit	comments
Umpierrez2011	PLAC	66.0	PLAC	hba1c	NA	plasma	NR	hba1c_PLAC	0.0	week	8.05454539306893	NA	NA	NA	0.6646964716397711	NA	0.08181847974284118	NA	percent	NA
Umpierrez2011	PLAC	66.0	PLAC	hba1c	NA	plasma	NR	hba1c_PLAC	4.0	week	7.83636382079318	NA	NA	NA	0.7754771039078328	NA	0.09545463294035006	NA	percent	NA
Umpierrez2011	PLAC	66.0	PLAC	hba1c	NA	plasma	NR	hba1c_PLAC	8.0	week	7.74090918785282	NA	NA	NA	0.9970425944544495	NA	0.12272745952130037	NA	percent	NA
Umpierrez2011	PLAC	66.0	PLAC	hba1c	NA	plasma	NR	hba1c_PLAC	16.0	week	8.02727256648799	NA	NA	NA	1.2186080850009726	NA	0.15000028610223914	NA	percent	NA
Umpierrez2011	DUL0510	66.0	DUL0510	hba1c	NA	plasma	NR	hba1c_DUL0510	0.0	week	8.2181818323687	NA	NA	NA	0.8862577361760675	NA	0.10909078613788026	NA	percent	NA
Umpierrez2011	DUL0510	66.0	DUL0510	hba1c	NA	plasma	NR	hba1c_DUL0510	4.0	week	7.61818172833152	NA	NA	NA	0.9970425944544423	NA	0.12272745952129949	NA	percent	NA
Umpierrez2011	DUL0510	66.0	DUL0510	hba1c	NA	plasma	NR	hba1c_DUL0510	8.0	week	7.19545473697753	NA	NA	NA	0.8862577361760603	NA	0.10909078613787937	NA	percent	NA
Umpierrez2011	DUL0510	66.0	DUL0510	hba1c	NA	plasma	NR	hba1c_DUL0510	16.0	week	6.93636418492331	NA	NA	NA	0.7754728778976061	NA	0.09545411275445037	NA	percent	NA
Umpierrez2011	DUL1010	65.0	DUL1010	hba1c	NA	plasma	NR	hba1c_DUL1010	0.0	week	8.24545465894965	NA	NA	NA	0.9894562175818001	NA	0.12272693933540069	NA	percent	NA
Umpierrez2011	DUL1010	65.0	DUL1010	hba1c	NA	plasma	NR	hba1c_DUL1010	4.0	week	7.54999992197211	NA	NA	NA	0.8795222296809054	NA	0.10909130632377995	NA	percent	NA
Umpierrez2011	DUL1010	65.0	DUL1010	hba1c	NA	plasma	NR	hba1c_DUL1010	8.0	week	7.15454575719906	NA	NA	NA	0.8795180358081051	NA	0.10909078613788026	NA	percent	NA
Umpierrez2011	DUL1010	65.0	DUL1010	hba1c	NA	plasma	NR	hba1c_DUL1010	16.0	week	7.04545445087529	NA	NA	NA	0.9894604114545933	NA	0.12272745952129949	NA	percent	NA
Umpierrez2011	DUL1020	65.0	DUL1020	hba1c	NA	plasma	NR	hba1c_DUL1020	0.0	week	8.42272725144694	NA	NA	NA	0.9894604114546005	NA	0.12272745952130037	NA	percent	NA
Umpierrez2011	DUL1020	65.0	DUL1020	hba1c	NA	plasma	NR	hba1c_DUL1020	4.0	week	7.71363636127188	NA	NA	NA	0.8795180358081051	NA	0.10909078613788026	NA	percent	NA
Umpierrez2011	DUL1020	65.0	DUL1020	hba1c	NA	plasma	NR	hba1c_DUL1020	8.0	week	7.19545473697753	NA	NA	NA	0.879518035808098	NA	0.10909078613787937	NA	percent	NA
Umpierrez2011	DUL1020	65.0	DUL1020	hba1c	NA	plasma	NR	hba1c_DUL1020	16.0	week	6.89545468495894	NA	NA	NA	0.8795222296809054	NA	0.10909130632377995	NA	percent	NA
