,pmid,title,author,pubdate,keywords,prob,pmcid,table_info
0,21251178,"A 5-week study of the pharmacokinetics and pharmacodynamics of LY2189265, a novel, long-acting glucagon-like peptide-1 analogue, in patients with type 2 diabetes.",P Barrington; JY Chien; HD Showalter; K Schneck; S Cui; F Tibaldi; B Ellis; TA Hardy,2011,,0.9930685758590698,,
1,26507721,Clinical Pharmacokinetics of Dulaglutide in Patients with Type 2 Diabetes: Analyses of Data from Clinical Trials.,JS Geiser; MA Heathman; X Cui; J Martin; C Loghin; JY Chien; A de la Peña,2016,,0.9880349040031433,,
2,21251179,"LY2189265, a long-acting glucagon-like peptide-1 analogue, showed a dose-dependent effect on insulin secretion in healthy subjects.",P Barrington; JY Chien; F Tibaldi; HD Showalter; K Schneck; B Ellis,2011,,0.9493009448051453,,
3,31786794,"DR10601, a novel recombinant long-acting dual glucagon-like peptide-1 and glucagon receptor agonist for the treatment of obesity and type 2 diabetes mellitus.",W Wang; X Wen; W Duan; X Wang; Y Chen; J Dong; Z Yang; J Fang; Z Zhou; G Yao; Y Fang; Y Huang,2020,Body weight; Glucagon-like peptide-1; Obesity; Type 2 diabetes,0.9347315430641174,,
4,32314505,A glycosylated Fc-fused glucagon-like peptide-1 receptor agonist exhibits equivalent glucose lowering to but fewer gastrointestinal side effects than dulaglutide.,IB An; MS Byun; SI Yang; Y Choi; JW Woo; HC Jang; YC Sung,2020,"drug development, dulaglutide, GLP-1 analogue, glycaemic control, type 2 diabetes",0.8968256711959839,PMC7383507,
5,31250974,Physiologically-Based Pharmacokinetic Modeling of Atorvastatin Incorporating Delayed Gastric Emptying and Acid-to-Lactone Conversion.,BL Morse; JJ Alberts; MM Posada; J Rehmel; A Kolur; LS Tham; C Loghin; KM Hillgren; SD Hall; GL Dickinson,2019,,0.7962509989738464,PMC6765700,"PK - Table 1, Table 2 | Study Population - None"
6,28357715,"No Dose Adjustment is Recommended for Digoxin, Warfarin, Atorvastatin or a Combination Oral Contraceptive When Coadministered with Dulaglutide.",A de la Peña; X Cui; J Geiser; C Loghin,2017,,0.7762274146080017,,
7,21154170,"Dulaglutide, a long-acting GLP-1 analog fused with an Fc antibody fragment for the potential treatment of type 2 diabetes.",E Jimenez-Solem; MH Rasmussen; M Christensen; FK Knop,2010,,0.5861627459526062,,
8,34787823,"Pharmacokinetics, Pharmacodynamics, and Safety of Dulaglutide After Single or Multiple Doses in Chinese Healthy Subjects and Patients with T2DM: A Randomized, Placebo-Controlled, Phase I Study.","Xu, Junyu, Zhang, Yifei, Li, Yiming, Zhao, Xia, Zhou, Weiwei, Loghin, Corina, Tham, Lai San, Cui, Xuewei, Cui, Yimin, Wang, Weiqing",2022,"Chinese participants, Dulaglutide, Phase I study",0.8892428874969482,,
9,38095516,"Brain uptake pharmacokinetics of albiglutide, dulaglutide, tirzepatide, and DA5-CH in the search for new treatments of Alzheimer's and Parkinson's diseases.","Rhea, Elizabeth M, Babin, Alice, Thomas, Peter, Omer, Mohamed, Weaver, Riley, Hansen, Kim, Banks, William A, Talbot, Konrad",2023,"Alzheimer's disease, Parkinson's disease, glucagon-like peptide -1 receptor, incretin receptor agonists, pharmacokinetics",0.9417036175727844,,
10,38651744,A pharmacokinetic study comparing the biosimilar HEC14028 and Dulaglutide (Trulicity(R)) in healthy Chinese subjects.,"Gao, Xianglei, Di, Yujing, Lv, Yuan, Luan, Yingcai, Xiong, Yang, Xu, Yuli, Li, Yusheng, Guo, Linfeng, Li, Xiaoping, Deng, Li, Zhuang, Yulei, Hou, Jie",2024,,0.8987874388694763,PMC11036873,"PK - TABLE 2, TABLE 3 | Study Population - TABLE 1"
